Existing_WS_ID,Existing_Name,Existing_Primary_MIC,Existing_Primary_Ticker,Recovery_Candidate_Score,Selection_Status,Selection_Reason
"WS:XTSE:BAM","Brookfield Asset Management Ltd. Class A Limited Voting Shares","XTSE","BAM","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:BBD.B","Bombardier Inc. Class B Subordinate Voting Shares","XTSE","BBD.B","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:BBUC","Brookfield Business Corporation Class A Subordinate Voting Shares","XTSE","BBUC","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:BEI.UN","Boardwalk Real Estate Investment Trust","XTSE","BEI.UN","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:BEP.UN","Brookfield Renewable Partners L.P.","XTSE","BEP.UN","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:BIP.UN","Brookfield Infrastructure Partners L.P.","XTSE","BIP.UN","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:BN","Brookfield Corporation Class A Limited Voting Shares","XTSE","BN","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:CAR.UN","Canadian Apartment Properties Real Estate Investment Trust","XTSE","CAR.UN","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:CCA","Cogeco Communications Inc. Subordinate Voting Shares","XTSE","CCA","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:CCL.B","CCL Industries Inc. Unlimited Class B Non-Voting Shares","XTSE","CCL.B","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:CHP.UN","Choice Properties Real Estate Investment Trust","XTSE","CHP.UN","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:CIGI","Colliers International Group Inc. Subordinate Voting Shares","XTSE","CIGI","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:CJT","Cargojet Inc. Common and Variable Voting Shares","XTSE","CJT","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:CRR.UN","Crombie Real Estate Investment Trust","XTSE","CRR.UN","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:CRT.UN","CT Real Estate Investment Trust","XTSE","CRT.UN","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:CSH.UN","Chartwell Retirement Residences","XTSE","CSH.UN","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:CTC.A","Canadian Tire Corporation Limited Class A Non-Voting Shares","XTSE","CTC.A","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:CU","Canadian Utilities Limited Class A Non-Voting Shares","XTSE","CU","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:CURA","Curaleaf Holdings Inc. Subordinate Voting Shares","XTSE","CURA","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:DIR.UN","Dream Industrial Real Estate Investment Trust","XTSE","DIR.UN","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:DOO","BRP Inc. Subordinate Voting Shares","XTSE","DOO","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:EMP.A","Empire Company Limited Non-Voting Class A Shares","XTSE","EMP.A","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:FCR.UN","First Capital Real Estate Investment Trust","XTSE","FCR.UN","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:FFH","Fairfax Financial Holdings Limited Subordinate Voting Shares","XTSE","FFH","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:GFL","GFL Environmental Inc. subordinate voting shares","XTSE","GFL","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:GIB.A","CGI Inc. Class A Subordinate Voting Shares","XTSE","GIB.A","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:GRT.UN","Granite Real Estate Investment Trust","XTSE","GRT.UN","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:HPS.A","Hammond Power Solutions Inc. Class A Subordinate Voting Shares","XTSE","HPS.A","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:HR.UN","H&R Real Estate Investment Trust","XTSE","HR.UN","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:KMP.UN","Killam Apartment Real Estate Investment Trust","XTSE","KMP.UN","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:LSPD","Lightspeed Commerce Inc. Subordinate Voting Shares","XTSE","LSPD","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:ONEX","ONEX Corporation Subordinate Voting Shares","XTSE","ONEX","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:PMZ.UN","Primaris Real Estate Investment Trust","XTSE","PMZ.UN","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:POU","Paramount Resources Ltd. Class A Common Shares","XTSE","POU","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:POW","Power Corporation of Canada Subordinate Voting Shares","XTSE","POW","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:QBR.B","Quebecor Inc. Class B Subordinate Voting Shares","XTSE","QBR.B","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:RCI.B","Rogers Communications Inc. Class B Non-voting Shares","XTSE","RCI.B","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:REI.UN","RioCan Real Estate Investment Trust","XTSE","REI.UN","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:SHOP","Shopify Inc. Class A Subordinate Voting Shares","XTSE","SHOP","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:SRU.UN","SmartCentres Real Estate Investment Trust","XTSE","SRU.UN","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
"WS:XTSE:TECK.B","Teck Resources Limited Class B Subordinate Voting Shares","XTSE","TECK.B","7","NOT_SELECTED","Not selected: ranked below the 30-row cap under the predeclared score/tie-break rule."
